"Timestamp","Age","Millennium Falcon: Smugglers Run","Star Wars: Rise of the Resistance","Savi's Workshop (Handbuilt Lightsabers)","Droid Depot","Oga's Cantina","Docking Bay 7 Food and Cargo","Milk Stand","Ronto Roasters","Kat Saka's Kettle","Dok-Ondar's Den of Antiquities","Black Spire Outfitters","First Order Cargo","Resistance Supply","Creature Stall","Toydarian Toymaker","Disney Parks App","Star Wars: Galactic Starcruiser (2-night, all-immersive adventure)"
"2020/04/06 6:02:38 PM AST","25-34","4","5","1","1","2","2","1","1","1","1","1","1","1","1","1","3","3"
"2020/04/06 6:05:22 PM AST","25-34","1","3","3","3","3","2","3","4","3","4","3","3","3","4","3","3","1"
"2020/04/06 6:10:38 PM AST","45-54","5","5","5","4","2","3","2","3","2","3","2","3","3","3","2","1","3"
"2020/04/06 6:15:09 PM AST","35-44","3","2","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1"
"2020/04/06 6:18:24 PM AST","35-44","4","4","5","3","5","3","2","4","2","4","3","2","3","4","3","5","3"
"2020/04/06 6:18:25 PM AST","25-34","3","5","4","4","4","4","2","4","3","3","4","3","3","3","3","5","5"
"2020/04/06 6:35:54 PM AST","35-44","5","5","5","3","5","3","2","2","1","4","3","2","3","2","2","5","5"
"2020/04/06 6:50:21 PM AST","25-34","5","5","3","1","4","1","3","1","2","2","2","2","2","2","2","2","3"
"2020/04/06 6:51:16 PM AST","25-34","5","5","5","4","5","3","4","3","3","5","3","3","3","4","4","4","4"
"2020/04/06 6:55:23 PM AST","45-54","5","5","4","2","4","2","1","2","2","4","5","4","3","4","4","3","1"
"2020/04/06 7:07:16 PM AST","25-34","5","5","5","3","5","4","4","3","1","3","3","3","3","1","2","1","1"
"2020/04/06 7:15:39 PM AST","18-24","2","5","1","5","3","2","1","1","1","1","1","1","1","2","1","4","1"
"2020/04/06 7:23:15 PM AST","25-34","4","5","3","4","5","1","3","3","1","5","1","1","1","1","2","2","5"
"2020/04/06 7:29:08 PM AST","25-34","5","5","5","4","5","2","5","3","1","5","2","4","4","2","2","3","3"
"2020/04/06 7:41:15 PM AST","35-44","5","5","5","4","4","3","4","4","5","5","3","3","3","4","5","4","5"
"2020/04/06 7:47:06 PM AST","35-44","3","5","3","3","4","2","3","1","1","3","1","3","3","3","3","3","3"
"2020/04/06 7:47:50 PM AST","25-34","5","3","5","5","5","5","4","5","3","5","5","5","5","3","3","5","3"
"2020/04/06 8:00:06 PM AST","18-24","4","4","5","4","3","3","3","3","1","4","2","3","2","4","4","2","1"
"2020/04/06 8:01:29 PM AST","35-44","5","5","1","2","2","2","2","2","1","1","2","2","2","3","3","1","2"
"2020/04/06 8:03:04 PM AST","25-34","5","5","3","3","5","5","5","5","2","5","4","2","2","4","4","4","1"
"2020/04/06 8:27:31 PM AST","25-34","5","5","4","5","2","4","2","4","1","4","3","3","2","3","3","4","4"
"2020/04/06 8:35:10 PM AST","25-34","2","5","5","4","3","5","3","5","3","5","2","2","5","3","4","2","1"
"2020/04/06 8:36:22 PM AST","18-24","4","4","4","2","4","4","2","4","3","3","4","3","3","3","3","3","2"
"2020/04/06 8:37:39 PM AST","18-24","5","5","3","4","4","3","3","3","2","5","2","4","5","2","2","4","5"
"2020/04/06 8:52:40 PM AST","25-34","4","5","5","3","5","1","3","3","2","3","1","1","1","1","1","3","1"
"2020/04/06 8:53:26 PM AST","35-44","5","5","5","4","4","4","4","4","3","5","4","3","3","4","4","5","5"
"2020/04/06 8:57:14 PM AST","25-34","3","4","1","1","2","4","1","4","3","1","1","1","1","1","1","1","1"
"2020/04/06 8:58:43 PM AST","25-34","5","5","4","2","3","3","2","5","2","4","2","3","3","3","3","5","3"
"2020/04/06 9:00:07 PM AST","Under 18","5","5","5","5","5","3","4","3","2","5","4","4","5","4","4","3","3"
"2020/04/06 9:24:31 PM AST","35-44","5","5","4","3","4","3","1","2","1","2","2","3","2","1","1","2","5"
"2020/04/06 9:28:08 PM AST","25-34","5","5","5","5","5","5","4","5","4","5","5","4","4","4","4","3","2"
"2020/04/06 9:29:43 PM AST","25-34","5","5","5","5","5","5","3","3","4","5","4","5","4","5","4","4","5"
"2020/04/06 9:47:39 PM AST","35-44","5","5","5","3","5","4","2","5","2","5","3","3","4","4","3","3","3"
"2020/04/06 9:56:51 PM AST","25-34","4","5","5","4","5","5","3","3","1","5","1","1","1","1","1","3","4"
"2020/04/06 10:03:37 PM AST","35-44","5","5","5","5","4","4","4","5","3","5","3","4","4","2","3","2","3"
"2020/04/06 10:27:36 PM AST","25-34","2","5","3","4","5","4","5","4","3","4","3","3","3","3","2","2","4"
"2020/04/06 10:37:37 PM AST","25-34","5","5","3","5","5","4","3","4","3","4","3","2","5","5","5","3","5"
"2020/04/06 10:43:11 PM AST","25-34","5","5","1","1","5","3","5","2","1","5","5","5","2","4","4","2","3"
"2020/04/06 10:45:22 PM AST","18-24","4","5","5","3","5","2","3","4","3","5","2","2","2","4","4","3","2"
"2020/04/06 10:47:26 PM AST","25-34","4","5","5","5","3","4","3","3","3","3","3","3","3","3","3","3","3"
"2020/04/06 11:13:06 PM AST","25-34","5","5","5","5","5","5","5","5","3","4","4","4","4","3","4","3","3"
